floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
4,9,2,48.5,11590000,Можайский,Можайское шоссе,22,Рабочий посёлок,316163973
4,7,2,64.7,80964399,Хамовники,Комсомольский проспект,42С2,Спортивная,305062277
6,6,2,72.3,45000000,Красносельский,Милютинский переулок,19/4С2,Тургеневская,315022074
4,12,2,50.0,10950000,Выхино-Жулебино,Рязанский проспект,82К3,Юго-Восточная,302338028
34,39,2,49.0,28500000,Раменки, Лобачевского,120к1,Аминьевская,315681235
10,15,2,40.0,11700000,Люблино,Цимлянская ,3к3,Люблино,316700518
7,8,2,75.0,112500000,Якиманка,Софийская набережная,34,Новокузнецкая,311345933
11,21,2,53.0,22600000,Войковский,Выборгская ,9/1,Водный стадион,311961438
8,28,2,60.0,59000000,Якиманка,Мытная ,40к4,Октябрьская,315347213
6,9,2,40.0,13200000,Гольяново,Байкальская ,15,Щёлковская,314512206
8,11,2,74.0,72000000,Тверской,Лесная ,4с1,Белорусская,315752824
3,6,2,49.0,64000000,Хамовники,Зубовская ,7,Парк Культуры,292267406
46,75,2,114.2,86000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,305062355
2,18,2,100.0,84990000,Раменки,Ломоносовский проспект,25к2,Университет,315143482
20,25,2,61.3,24400000,Фили-Давыдково,Кастанаевская ,65,Кунцевская,315643090
2,17,2,100.0,85000000,Раменки,Ломоносовский проспект,25к2,Университет,316196150
1,9,2,47.1,10699999,Выхино-Жулебино, Чугунные Ворота,21К4,Юго-Восточная,314952668
5,6,2,50.0,66960000,Хамовники,Зубовская ,7,Парк Культуры,315815519
1,12,2,38.2,10700000,Черемушки, Каховка,22К5,Зюзино,304516413
7,22,2,73.6,35900000,Раменки,Мичуринский проспект,16,Раменки,316704776
14,22,2,40.2,14500000,Нижегородский,Газгольдерная ,10,Нижегородская,314499408
23,36,2,57.0,32990000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,313841030
2,39,2,69.0,47000000,Раменки, Лобачевского,120к1,Аминьевская,312575064
9,12,2,54.7,14490000,Кунцево, Ивана Франко,32К1,Рабочий посёлок,314904309
23,24,2,88.0,69990000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,315101061
10,13,2,73.5,65000000,Раменки,Воробьевское шоссе,4,Поклонная,314846860
5,5,3,152.0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,309170499
5,5,3,151.6,103000000,Красносельский,переулок Даев,31С2,Сухаревская,309810361
27,41,3,79.0,71000000,Раменки,1-й Сетуньский проезд,8,Кутузовская,316610272
